	path4	path6	collector	len4	len6
286	[286, 702, 36622, 26415]	[286, 6939, 26415]	VIX, Vienna	4.0	3.0
513	[513, 6730, 3356, 36619, 26415]	[513, 6730, 3356, 26415]	CIXP, Geneva	5.0	4.0
1103	[1103, 702, 36622, 26415]	[1103, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
1280	[1280, 3356, 36620, 26415]	[1280, 701, 26415]	Palo Alto, USA	4.0	3.0
1853	[1853, 3356, 36619, 26415]	[1853, 3356, 26415]	VIX, Vienna	4.0	3.0
1930	[1930, 20965, 3549, 36622, 26415]	[1930, 20965, 3549, 6175, 26415]	RIPE NCC, Amsterdam	5.0	5.0
2497	[2497, 36620, 26415]	[2497, 26415]	Palo Alto, USA	3.0	2.0
2914	[2914, 36625, 26415]	[2914, 6939, 26415]	Palo Alto, USA	3.0	3.0
3257	[3257, 10026, 36625, 26415]	[3257, 6939, 26415]	Frankfurt, Germany	4.0	3.0
4589	[4589, 36619, 26415]	[4589, 26415]	Frankfurt, Germany	3.0	2.0
6667	[6667, 36622, 26415]	[6667, 6939, 26415]	Stockholm, Sweden	3.0	3.0
6762	[6762, 3549, 36620, 26415]	[6762, 6939, 26415]	Palo Alto, USA	4.0	3.0
6881	[6881, 3257, 10026, 36625, 26415]	[6881, 15685, 29208, 6939, 26415]	RIPE NCC, Amsterdam	5.0	5.0
7575	[7575, 36620, 26415]	[7575, 6939, 26415]	Palo Alto, USA	3.0	3.0
8447	[8447, 36622, 26415]	[8447, 6939, 26415]	VIX, Vienna	3.0	3.0
8763	[8763, 6695, 36622, 26415]	[8763, 6939, 26415]	Frankfurt, Germany	4.0	3.0
9002	[9002, 36619, 26415]	[9002, 6939, 26415]	Moscow, Russia	3.0	3.0
12637	[12637, 3257, 10026, 36625, 26415]	[12637, 3549, 6175, 26415]	Milan, Italy	5.0	4.0
12779	[12779, 3549, 36622, 26415]	[12779, 3356, 26415]	Milan, Italy	4.0	3.0
12859	[12859, 36622, 26415]	[12859, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	3.0	3.0
13030	[13030, 36619, 26415]	[13030, 26415]	New York (NY), USA	3.0	2.0
13237	[13237, 36622, 26415]	[13237, 6939, 26415]	Frankfurt, Germany	3.0	3.0
19151	[19151, 36620, 26415]	[19151, 26415]	Palo Alto, USA	3.0	2.0
20640	[20640, 6695, 36622, 26415]	[20640, 6939, 26415]	Frankfurt, Germany	4.0	3.0
22548	[22548, 10429, 12956, 2914, 36625, 26415]	[22548, 3549, 6939, 26415]	Sao Paulo, Brazil	6.0	4.0
29636	[29636, 2914, 36625, 26415]	[29636, 6939, 26415]	LINX, London	4.0	3.0
29686	[29686, 6453, 36619, 26415]	[29686, 8075, 26415]	Frankfurt, Germany	4.0	3.0
30132	[30132, 6939, 36622, 26415]	[30132, 6939, 26415]	AMS-IX and NL-IX, Amsterdam	4.0	3.0
196613	[196613, 1125, 1103, 702, 36622, 26415]	[196613, 1125, 1103, 6939, 26415]	RIPE NCC, Amsterdam	6.0	5.0
