	path4	path6	collector	len4	len6
286	[286, 2914, 42, 27]	[286, 42, 27]	LINX, London	4.0	3.0
513	[513, 10764, 11537, 10886, 27]	[513, 11537, 10886, 27]	CIXP, Geneva	5.0	4.0
1836	[1836, 174, 10886, 27]	[1836, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
5396	[5396, 6762, 42, 27]	[5396, 6939, 42, 27]	Milan, Italy	4.0	4.0
6679	[6679, 3216, 42, 27]	[6679, 6939, 42, 27]	Moscow, Russia	4.0	4.0
6720	[6720, 8447, 42, 27]	[6720, 1853, 20965, 11537, 10886, 27]	VIX, Vienna	4.0	6.0
6881	[6881, 29208, 42, 27]	[6881, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
8447	[8447, 42, 27]	[8447, 6939, 42, 27]	VIX, Vienna	3.0	4.0
8758	[8758, 8220, 42, 27]	[8758, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
12637	[12637, 2914, 42, 27]	[12637, 6939, 42, 27]	Milan, Italy	4.0	4.0
12859	[12859, 42, 27]	[12859, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	3.0	4.0
15435	[15435, 174, 10886, 27]	[15435, 6939, 42, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
15605	[15605, 174, 10886, 27]	[15605, 6939, 42, 27]	Milan, Italy	4.0	4.0
29608	[29608, 43100, 42, 27]	[29608, 6939, 42, 27]	RIPE NCC, Amsterdam	4.0	4.0
29611	[29611, 42, 27]	[29611, 6939, 42, 27]	LINX, London	3.0	4.0
41497	[41497, 174, 10886, 27]	[41497, 6939, 42, 27]	Milan, Italy	4.0	4.0
50763	[50763, 42, 27]	[50763, 8943, 42, 27]	AMS-IX and NL-IX, Amsterdam	3.0	4.0
51185	[51185, 3356, 3549, 42, 27]	[51185, 6939, 42, 27]	Milan, Italy	5.0	4.0
56730	[56730, 42, 27]	[56730, 6939, 42, 27]	LINX, London	3.0	4.0
57821	[57821, 12586, 31025, 42, 27]	[57821, 6939, 42, 27]	RIPE NCC, Amsterdam	5.0	4.0
