	collector	path6	path4	len4	len6
286	LINX, London	[286, 1257, 8674, 29216]	[286, 34984, 44327, 41965, 42109, 8674, 29216]	7.0	4.0
680	Frankfurt, Germany	[680, 6939, 8674, 29216]	[680, 20965, 2603, 8674, 29216]	5.0	4.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 2603, 224, 8674, 29216]	[1103, 20965, 2603, 8674, 29216]	5.0	5.0
1916	Sao Paulo, Brazil	[1916, 6939, 8674, 29216]	[1916, 8674, 29216]	3.0	4.0
3257	Frankfurt, Germany	[3257, 2611, 8674, 29216]	[3257, 34984, 44327, 41965, 42109, 8674, 29216]	7.0	4.0
6679	Moscow, Russia	[6679, 6939, 8674, 29216]	[6679, 20485, 8674, 29216]	4.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 34984, 44327, 41965, 42109, 8674, 29216]	8.0	4.0
8447	VIX, Vienna	[8447, 6939, 8674, 29216]	[8447, 8674, 29216]	3.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 3356, 42708, 8674, 29216]	[8758, 8966, 35313, 8674, 29216]	5.0	5.0
14840	Sao Paulo, Brazil	[14840, 6939, 8674, 29216]	[14840, 8674, 29216]	3.0	4.0
20640	Frankfurt, Germany	[20640, 6695, 8674, 29216]	[20640, 42708, 8674, 29216]	4.0	4.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 8674, 29216]	[22652, 3356, 2611, 8674, 29216]	5.0	4.0
25152	Otemachi, Japan	[25152, 6939, 8674, 29216]	[25152, 2914, 8674, 29216]	4.0	4.0
29608	RIPE NCC, Amsterdam	[29608, 6939, 8674, 29216]	[29608, 3356, 2611, 8674, 29216]	5.0	4.0
29636	LINX, London	[29636, 6939, 8674, 29216]	[29636, 2603, 8674, 29216]	4.0	4.0
37989	RIPE NCC, Amsterdam	[37989, 6939, 8674, 29216]	[37989, 132132, 45494, 8674, 29216]	5.0	4.0
48166	Frankfurt, Germany	[48166, 8674, 29216]	[48166, 42708, 8674, 29216]	4.0	3.0
52888	Sao Paulo, Brazil	[52888, 1916, 6939, 8674, 29216]	[52888, 1916, 8674, 29216]	4.0	5.0
57381	RIPE NCC, Amsterdam	[57381, 42708, 8674, 29216]	[57381, 50304, 8674, 29216]	4.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 6939, 8674, 29216]	[57821, 48039, 31025, 42708, 8674, 29216]	6.0	4.0
