	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 6453, 26415]	[286, 6939, 26415]	3.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 20965, 2602, 26415]	[1103, 6939, 26415]	4.0	3.0
1280	Palo Alto, USA	[1280, 17451, 26415]	[1280, 3356, 26415]	3.0	3.0
1853	VIX, Vienna	[1853, 2852, 26415]	[1853, 3356, 26415]	3.0	3.0
1930	RIPE NCC, Amsterdam	[1930, 26415]	[1930, 20965, 3549, 6175, 26415]	2.0	5.0
2497	Palo Alto, USA	[2497, 6453, 26415]	[2497, 26415]	3.0	2.0
2914	Palo Alto, USA	[2914, 26134, 26415]	[2914, 6939, 26415]	3.0	3.0
3257	Frankfurt, Germany	[3257, 30827, 26415]	[3257, 6939, 26415]	3.0	3.0
6667	Stockholm, Sweden	[6667, 3327, 26415]	[6667, 6939, 26415]	3.0	3.0
6762	Palo Alto, USA	[6762, 10026, 26415]	[6762, 6939, 26415]	3.0	3.0
6881	RIPE NCC, Amsterdam	[6881, 26415]	[6881, 15685, 29208, 6939, 26415]	2.0	5.0
7575	Palo Alto, USA	[7575, 3491, 9498, 26415]	[7575, 30071, 7018, 26415]	4.0	4.0
8426	New York (NY), USA	[8426, 8928, 29403, 26415]	[8426, 6939, 26415]	4.0	3.0
8447	VIX, Vienna	[8447, 36623, 26415]	[8447, 6939, 26415]	3.0	3.0
9002	Moscow, Russia	[9002, 26415]	[9002, 6939, 26415]	2.0	3.0
12637	Milan, Italy	[12637, 26415]	[12637, 3549, 6175, 26415]	2.0	4.0
12779	Milan, Italy	[12779, 41364, 26415]	[12779, 3356, 26415]	3.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 36623, 26415]	[12859, 6939, 26415]	3.0	3.0
13030	New York (NY), USA	[13030, 16150, 26415]	[13030, 26415]	3.0	2.0
13237	Frankfurt, Germany	[13237, 3327, 26415]	[13237, 6939, 26415]	3.0	3.0
16735	Sao Paulo, Brazil	[16735, 8167, 26415]	[16735, 6762, 7018, 26415]	3.0	4.0
19151	Palo Alto, USA	[19151, 17451, 26415]	[19151, 26415]	3.0	2.0
20640	Frankfurt, Germany	[20640, 3327, 26415]	[20640, 6175, 26415]	3.0	3.0
22548	Sao Paulo, Brazil	[22548, 8167, 26415]	[22548, 3549, 6939, 26415]	3.0	4.0
28138	Sao Paulo, Brazil	[28138, 16735, 8167, 26415]	[28138, 16735, 12956, 6939, 26415]	4.0	5.0
29636	LINX, London	[29636, 30827, 26415]	[29636, 6939, 26415]	3.0	3.0
29686	Frankfurt, Germany	[29686, 35254, 26415]	[29686, 6939, 26415]	3.0	3.0
30132	AMS-IX and NL-IX, Amsterdam	[30132, 6453, 26415]	[30132, 6939, 26415]	3.0	3.0
34695	Milan, Italy	[34695, 26415]	[34695, 6939, 26415]	2.0	3.0
53070	Sao Paulo, Brazil	[53070, 16735, 8167, 26415]	[53070, 16735, 3549, 6939, 26415]	4.0	5.0
196613	RIPE NCC, Amsterdam	[196613, 1125, 1103, 20965, 2602, 26415]	[196613, 1125, 1103, 6939, 26415]	6.0	5.0
