	collector	path4	path6	len4	len6
286	VIX, Vienna	[286, 3549, 20144]	[286, 29208, 20144]	3.0	3.0
513	CIXP, Geneva	[513, 6730, 4436, 20144]	[513, 6730, 5511, 3549, 20144]	4.0	5.0
559	CIXP, Geneva	[559, 6939, 20144]	[559, 29208, 20144]	3.0	3.0
1103	AMS-IX and NL-IX, Amsterdam	[1103, 23148, 20144]	[1103, 29208, 20144]	3.0	3.0
2497	New York (NY), USA	[2497, 20144]	[2497, 1273, 20144]	2.0	3.0
6667	Stockholm, Sweden	[6667, 3257, 20144]	[6667, 29208, 20144]	3.0	3.0
8447	VIX, Vienna	[8447, 4436, 20144]	[8447, 6939, 20144]	3.0	3.0
8763	Frankfurt, Germany	[8763, 6939, 20144]	[8763, 29208, 20144]	3.0	3.0
9002	Moscow, Russia	[9002, 48268, 15685, 20144]	[9002, 20144]	4.0	2.0
12637	Milan, Italy	[12637, 34695, 20144]	[12637, 3257, 20144]	3.0	3.0
12779	Milan, Italy	[12779, 34695, 20144]	[12779, 3257, 20144]	3.0	3.0
12859	AMS-IX and NL-IX, Amsterdam	[12859, 23148, 20144]	[12859, 29208, 20144]	3.0	3.0
13030	New York (NY), USA	[13030, 23148, 20144]	[13030, 3257, 20144]	3.0	3.0
19151	Frankfurt, Germany	[19151, 20144]	[19151, 4436, 20144]	2.0	3.0
20640	Frankfurt, Germany	[20640, 23148, 20144]	[20640, 29208, 20144]	3.0	3.0
29449	Milan, Italy	[29449, 34695, 20144]	[29449, 6939, 20144]	3.0	3.0
29686	Frankfurt, Germany	[29686, 6939, 20144]	[29686, 29208, 20144]	3.0	3.0
196613	RIPE NCC, Amsterdam	[196613, 1125, 1103, 23148, 20144]	[196613, 1125, 1103, 29208, 20144]	5.0	5.0
