time,identical,diff,v4_longer,v4_shorter
2008-03-01,0,0,23,0
2008-04-01,0,0,0,0
2008-05-01,0,0,1,0
2008-06-01,0,0,0,0
2008-07-01,0,0,3,0
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,0,1,3,0
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,0,1,24,0
2009-08-01,0,10,15,0
2009-09-01,0,4,22,0
2009-10-01,0,2,22,1
2009-11-01,0,7,18,0
2009-12-01,0,3,24,0
2010-01-01,0,1,14,0
2010-02-01,0,7,17,1
2010-03-01,0,6,19,2
2010-04-01,0,6,19,1
2010-05-01,0,4,24,0
2010-06-01,0,11,19,0
2010-07-01,0,10,21,0
2010-08-01,0,9,20,0
2010-09-01,0,11,19,0
2010-10-01,0,7,20,0
2010-11-01,0,7,23,0
2010-12-01,0,2,2,0
2011-01-01,0,2,8,0
2011-02-01,0,7,31,0
2011-03-01,0,8,25,0
2011-04-01,0,9,31,0
2011-05-01,1,8,33,0
2011-06-01,1,9,32,0
2011-07-01,1,5,36,0
2011-08-01,1,4,33,0
2011-09-01,1,3,35,0
2011-10-01,1,2,41,0
2011-11-01,0,2,40,0
2011-12-01,1,3,38,0
2012-01-01,1,3,26,0
2012-02-01,1,2,40,0
2012-03-01,1,23,18,2
2012-04-01,1,30,12,2
2012-05-01,0,19,4,22
2012-06-01,0,18,5,20
2012-07-01,1,20,19,1
2012-08-01,3,17,5,24
2012-09-01,2,19,6,23
2012-10-01,0,23,22,2
2012-11-01,0,20,19,16
2012-12-01,0,19,11,15
2013-01-01,3,22,18,15
2013-02-01,3,26,15,18
2013-03-01,2,18,15,14
2013-04-01,2,13,16,9
2013-05-01,0,18,26,14
2013-06-01,0,21,13,15
2013-07-01,0,37,6,20
2013-08-01,4,39,5,17
2013-09-01,3,40,5,17
2013-10-01,0,36,4,19
2013-11-01,5,16,3,41
2013-12-01,5,31,4,24
2014-01-01,4,35,6,15
2014-02-01,22,24,2,16
2014-03-01,37,13,1,13
2014-04-01,36,10,2,14
2014-05-01,35,12,1,14
2014-06-01,36,10,1,13
2014-07-01,29,15,5,10
2014-08-01,34,14,1,11
2014-09-01,29,15,1,10
2014-10-01,33,13,2,6
2014-11-01,35,17,2,7
2014-12-01,35,16,2,7
2015-01-01,35,16,2,5
2015-02-01,32,19,3,6
2015-03-01,33,18,3,8
2015-04-01,33,19,3,9
2015-05-01,36,15,2,7
2015-06-01,30,19,1,10
2015-07-01,34,17,1,9
2015-08-01,36,15,1,12
2015-09-01,43,14,2,10
2015-10-01,43,14,2,12
2015-11-01,40,13,1,14
2015-12-01,52,19,3,14
2016-01-01,52,20,3,13
2016-02-01,50,19,3,17
2016-03-01,50,22,3,15
2016-04-01,51,22,5,19
2016-05-01,52,21,4,18
2016-06-01,47,24,5,22
