time,identical,diff,v4_longer,v4_shorter
2014-04-01,41,9,2,3
2014-05-01,40,10,2,4
2014-06-01,39,9,2,4
2014-07-01,38,9,2,4
2014-08-01,39,8,2,5
2014-09-01,35,9,2,3
2014-10-01,35,5,2,5
2014-11-01,39,10,2,6
2014-12-01,40,9,2,5
2015-01-01,40,8,1,5
2015-02-01,37,11,1,4
2015-03-01,39,10,2,4
2015-04-01,44,6,1,6
2015-05-01,42,8,1,5
2015-06-01,42,8,1,5
2015-07-01,41,9,1,6
2015-08-01,45,8,1,6
2015-09-01,49,9,1,6
2015-10-01,49,13,1,4
2015-11-01,45,14,1,4
2015-12-01,59,17,2,7
2016-01-01,64,13,2,5
2016-02-01,64,12,2,8
2016-03-01,68,10,2,8
2016-04-01,65,17,3,7
2016-05-01,66,13,3,6
2016-06-01,70,15,3,5
