time,identical,diff,v4_longer,v4_shorter
2011-07-01,4,23,10,4
2011-08-01,2,23,9,4
2011-09-01,4,25,6,4
2011-10-01,3,27,10,4
2011-11-01,3,28,9,3
2011-12-01,4,27,8,3
2012-01-01,4,17,7,2
2012-02-01,3,30,9,1
2012-03-01,4,30,9,1
2012-04-01,4,32,8,1
2012-05-01,3,32,8,2
2012-06-01,3,29,10,2
2012-07-01,5,28,8,1
2012-08-01,3,35,9,3
2012-09-01,5,35,9,2
2012-10-01,3,36,9,2
2012-11-01,4,43,10,1
2012-12-01,2,36,7,1
2013-01-01,4,44,12,1
2013-02-01,3,53,7,2
2013-03-01,4,41,6,1
2013-04-01,5,33,5,1
2013-05-01,3,49,8,1
2013-06-01,3,40,7,1
2013-07-01,4,51,8,2
2013-08-01,4,53,8,2
2013-09-01,4,54,7,2
2013-10-01,4,48,7,2
2013-11-01,32,24,2,8
2013-12-01,33,23,1,8
2014-01-01,30,23,1,7
2014-02-01,38,14,6,6
2014-03-01,38,14,6,6
2014-04-01,34,15,6,7
2014-05-01,33,15,7,7
2014-06-01,29,13,8,10
2014-07-01,30,14,6,9
2014-08-01,31,13,7,9
2014-09-01,33,8,6,8
2014-10-01,34,8,5,7
2014-11-01,38,16,2,6
2014-12-01,40,9,4,7
2015-01-01,39,10,4,5
2015-02-01,39,16,3,4
2015-03-01,39,17,4,3
2015-04-01,40,18,1,5
2015-05-01,42,10,4,4
2015-06-01,40,10,4,6
2015-07-01,41,11,3,6
2015-08-01,44,11,4,5
2015-09-01,45,13,6,5
2015-10-01,49,10,6,6
2015-11-01,47,9,5,7
2015-12-01,59,15,5,10
2016-01-01,59,25,3,3
2016-02-01,63,16,4,7
2016-03-01,61,17,5,7
2016-04-01,63,17,8,9
2016-05-01,63,15,8,9
2016-06-01,68,17,7,7
