	path4	path6	collector	len4	len6
1103	[1103, 20965, 11537, 10886, 27]	[1103, 2603, 11537, 10886, 27]	AMS-IX and NL-IX, Amsterdam	5.0	5.0
1280	[1280, 7922, 33657, 27]	[1280, 11164, 10886, 27]	Palo Alto, USA	4.0	4.0
1299	[1299, 6939, 22925, 27]	[1299, 6939, 10886, 27]	LINX, London	4.0	4.0
1836	[1836, 6939, 22925, 27]	[1836, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
1853	[1853, 20965, 11537, 10886, 27]	[1853, 6939, 10886, 27]	VIX, Vienna	5.0	4.0
2497	[2497, 6453, 7922, 33657, 27]	[2497, 11164, 10886, 27]	Palo Alto, USA	5.0	4.0
2914	[2914, 174, 22925, 27]	[2914, 10886, 27]	Palo Alto, USA	4.0	3.0
5396	[5396, 6939, 22925, 27]	[5396, 6939, 10886, 27]	Milan, Italy	4.0	4.0
6667	[6667, 6939, 22925, 27]	[6667, 6939, 10886, 27]	Stockholm, Sweden	4.0	4.0
6762	[6762, 174, 22925, 27]	[6762, 6939, 10886, 27]	Palo Alto, USA	4.0	4.0
6881	[6881, 6939, 22925, 27]	[6881, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
6939	[6939, 22925, 27]	[6939, 10886, 27]	Palo Alto, USA	3.0	3.0
8447	[8447, 6939, 22925, 27]	[8447, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8596	[8596, 6939, 22925, 27]	[8596, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
8607	[8607, 6939, 22925, 27]	[8607, 6939, 10886, 27]	LINX, London	4.0	4.0
8758	[8758, 6939, 22925, 27]	[8758, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
9002	[9002, 174, 22925, 27]	[9002, 10886, 27]	Moscow, Russia	4.0	3.0
12637	[12637, 6939, 22925, 27]	[12637, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12779	[12779, 6939, 22925, 27]	[12779, 6939, 10886, 27]	Milan, Italy	4.0	4.0
12859	[12859, 6939, 22925, 27]	[12859, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
12989	[12989, 6939, 22925, 27]	[12989, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
13030	[13030, 6939, 22925, 27]	[13030, 6939, 10886, 27]	New York (NY), USA	4.0	4.0
14840	[14840, 26615, 6762, 174, 22925, 27]	[14840, 18881, 3549, 11537, 10886, 27]	Sao Paulo, Brazil	6.0	6.0
15605	[15605, 174, 22925, 27]	[15605, 6939, 10886, 27]	Milan, Italy	4.0	4.0
16735	[16735, 6939, 22925, 27]	[16735, 6939, 10886, 27]	Sao Paulo, Brazil	4.0	4.0
19151	[19151, 6939, 22925, 27]	[19151, 10886, 27]	Palo Alto, USA	4.0	3.0
22652	[22652, 6939, 22925, 27]	[22652, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
25091	[25091, 6939, 22925, 27]	[25091, 6939, 10886, 27]	CIXP, Geneva	4.0	4.0
28289	[28289, 53131, 16735, 6939, 22925, 27]	[28289, 53131, 16735, 6939, 10886, 27]	Sao Paulo, Brazil	6.0	6.0
28917	[28917, 6939, 22925, 27]	[28917, 6939, 10886, 27]	Moscow, Russia	4.0	4.0
29049	[29049, 20485, 174, 22925, 27]	[29049, 1273, 10886, 27]	RIPE NCC, Amsterdam	5.0	4.0
29608	[29608, 6939, 22925, 27]	[29608, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
29611	[29611, 6939, 22925, 27]	[29611, 6939, 10886, 27]	LINX, London	4.0	4.0
29636	[29636, 6939, 22925, 27]	[29636, 6939, 10886, 27]	LINX, London	4.0	4.0
30844	[30844, 6939, 22925, 27]	[30844, 6939, 10886, 27]	LINX, London	4.0	4.0
31019	[31019, 6939, 22925, 27]	[31019, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
35369	[35369, 6939, 22925, 27]	[35369, 8218, 6939, 10886, 27]	VIX, Vienna	4.0	5.0
39912	[39912, 6939, 22925, 27]	[39912, 6939, 10886, 27]	VIX, Vienna	4.0	4.0
50300	[50300, 2914, 174, 22925, 27]	[50300, 6939, 10886, 27]	RIPE NCC, Amsterdam	5.0	4.0
50304	[50304, 6939, 22925, 27]	[50304, 6939, 10886, 27]	RIPE NCC, Amsterdam	4.0	4.0
50763	[50763, 6939, 22925, 27]	[50763, 6939, 10886, 27]	AMS-IX and NL-IX, Amsterdam	4.0	4.0
51185	[51185, 6939, 22925, 27]	[51185, 6939, 10886, 27]	Milan, Italy	4.0	4.0
56730	[56730, 6939, 22925, 27]	[56730, 6939, 10886, 27]	LINX, London	4.0	4.0
57381	[57381, 50304, 6939, 22925, 27]	[57381, 42708, 6939, 10886, 27]	RIPE NCC, Amsterdam	5.0	5.0
