	path4	collector	path6	len4	len6
513	[513, 6730, 30132, 3557]	CIXP, Geneva	[513, 3320, 6939, 27781, 28054, 3557]	4.0	6.0
1916	[1916, 30122, 3557]	Sao Paulo, Brazil	[1916, 6939, 27781, 28054, 3557]	3.0	5.0
6720	[6720, 8447, 3257, 30132, 3557]	VIX, Vienna	[6720, 1853, 6939, 27781, 28054, 3557]	5.0	6.0
8447	[8447, 3257, 30132, 3557]	VIX, Vienna	[8447, 6939, 27781, 28054, 3557]	4.0	5.0
8758	[8758, 8220, 27320, 3557]	RIPE NCC, Amsterdam	[8758, 6939, 27781, 28054, 3557]	4.0	5.0
9002	[9002, 30124, 3557]	Moscow, Russia	[9002, 30132, 3557]	3.0	3.0
9304	[9304, 4635, 23709, 3557]	New York (NY), USA	[9304, 6939, 27781, 28054, 3557]	4.0	5.0
13030	[13030, 1280, 394070, 3557]	New York (NY), USA	[13030, 33082, 3557]	4.0	3.0
14840	[14840, 30122, 3557]	Sao Paulo, Brazil	[14840, 18881, 3549, 6939, 27781, 28054, 3557]	3.0	7.0
15605	[15605, 27320, 3557]	Milan, Italy	[15605, 6939, 27781, 28054, 3557]	3.0	5.0
16735	[16735, 22548, 30122, 3557]	Sao Paulo, Brazil	[16735, 27781, 28054, 3557]	4.0	4.0
22548	[22548, 30122, 3557]	Sao Paulo, Brazil	[22548, 16735, 27781, 28054, 3557]	3.0	5.0
25152	[25152, 4713, 24047, 3557]	Otemachi, Japan	[25152, 6939, 27781, 28054, 3557]	4.0	5.0
28917	[28917, 6453, 30132, 3557]	Moscow, Russia	[28917, 30124, 3557]	4.0	3.0
29636	[29636, 39326, 33073, 3557]	LINX, London	[29636, 6939, 27781, 28054, 3557]	4.0	5.0
50304	[50304, 30132, 3557]	RIPE NCC, Amsterdam	[50304, 42708, 30132, 3557]	3.0	4.0
52720	[52720, 30122, 3557]	Sao Paulo, Brazil	[52720, 6939, 27781, 28054, 3557]	3.0	5.0
52888	[52888, 30122, 3557]	Sao Paulo, Brazil	[52888, 1916, 6939, 27781, 28054, 3557]	3.0	6.0
53070	[53070, 30122, 3557]	Sao Paulo, Brazil	[53070, 10429, 12956, 6939, 27781, 28054, 3557]	3.0	7.0
56730	[56730, 51945, 39326, 33073, 3557]	LINX, London	[56730, 6939, 27781, 28054, 3557]	5.0	5.0
57821	[57821, 12586, 31400, 33082, 3557]	RIPE NCC, Amsterdam	[57821, 6939, 27781, 28054, 3557]	5.0	5.0
