	collector	path6	path4	len4	len6
1280	Palo Alto, USA	[1280, 2914, 8674, 29216]	[1280, 2497, 8674, 29216]	4.0	4.0
1836	RIPE NCC, Amsterdam	[1836, 6939, 8674, 29216]	[1836, 8674, 29216]	3.0	4.0
1916	Sao Paulo, Brazil	[1916, 27750, 20965, 2603, 8674, 29216]	[1916, 8674, 29216]	3.0	6.0
3257	Frankfurt, Germany	[3257, 2497, 8674, 29216]	[3257, 2611, 8674, 29216]	4.0	4.0
6667	Stockholm, Sweden	[6667, 2603, 8674, 29216]	[6667, 8674, 29216]	3.0	4.0
6881	RIPE NCC, Amsterdam	[6881, 6939, 8674, 29216]	[6881, 3257, 2611, 8674, 29216]	5.0	4.0
8447	VIX, Vienna	[8447, 6939, 8674, 29216]	[8447, 8674, 29216]	3.0	4.0
8758	RIPE NCC, Amsterdam	[8758, 6939, 8674, 29216]	[8758, 6830, 8674, 29216]	4.0	4.0
13030	New York (NY), USA	[13030, 2914, 8674, 29216]	[13030, 8674, 29216]	3.0	4.0
14840	Sao Paulo, Brazil	[14840, 18881, 3549, 6762, 8674, 29216]	[14840, 8674, 29216]	3.0	6.0
16735	Sao Paulo, Brazil	[16735, 6939, 8674, 29216]	[16735, 8674, 29216]	3.0	4.0
22548	Sao Paulo, Brazil	[22548, 16735, 6939, 8674, 29216]	[22548, 16735, 8674, 29216]	4.0	5.0
22652	RIPE NCC, Amsterdam	[22652, 6939, 8674, 29216]	[22652, 3257, 2611, 8674, 29216]	5.0	4.0
28289	Sao Paulo, Brazil	[28289, 53131, 16735, 6939, 8674, 29216]	[28289, 53131, 16735, 8674, 29216]	5.0	6.0
29608	RIPE NCC, Amsterdam	[29608, 6939, 8674, 29216]	[29608, 2611, 8674, 29216]	4.0	4.0
48166	Frankfurt, Germany	[48166, 9002, 8674, 29216]	[48166, 8966, 35313, 8674, 29216]	5.0	4.0
50304	RIPE NCC, Amsterdam	[50304, 6939, 8674, 29216]	[50304, 1299, 2603, 8674, 29216]	5.0	4.0
57821	RIPE NCC, Amsterdam	[57821, 48039, 8674, 29216]	[57821, 48039, 3257, 2611, 8674, 29216]	6.0	4.0
