timestamp	1280	25091	25220	8596	7575	56730	286	57381	553	9002	13237	8758	3257	12859	1853	6720	25152	2497	29636	20932	15435	1103	19151	29140	12637	2914	9189	13030	6762	4589	34288	28917	29686	22652
1396310400	1280, 174, 2149	25091, 2914, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 31463, 3356, 174, 2149	286, 174, 2149	57381, 42708, 174, 2149	553, 174, 2149	9002, 2914, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 3257, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 3257, 174, 2149	22652, 174, 2149
1398902400	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 31463, 3356, 174, 2149	286, 174, 2149	57381, 42708, 174, 2149	553, 174, 2149	9002, 2914, 174, 2149	13237, 3257, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 3257, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 3257, 174, 2149	22652, 174, 2149
1417392000	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 6461, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 3356, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 3257, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 2914, 174, 2149	22652, 174, 2149
1420070400	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 6461, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 3356, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 2914, 174, 2149	22652, 174, 2149
1454284800	1280, 174, 2149	25091, 3356, 174, 2149	25220, 1299, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 3356, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 19151, 174, 2149	2497, 2914, 174, 2149	29636, 2914, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 3257, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 2914, 174, 2149	22652, 174, 2149
1462060800	1280, 174, 2149	25091, 3356, 174, 2149	25220, 3356, 174, 2149	8596, 286, 174, 2149	7575, 6461, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 3356, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 1273, 174, 2149	2497, 2914, 174, 2149	29636, 2914, 174, 2149	20932, 174, 2149	15435, 1299, 174, 2149	1103, 3257, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 3356, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 2914, 174, 2149	22652, 174, 2149
1406851200	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 6461, 174, 2149	56730, 31463, 3356, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 2914, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 3257, 174, 2149	22652, 174, 2149
1412121600	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 2914, 174, 2149	13237, 3257, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 3257, 174, 2149	22652, 174, 2149
1451606400	1280, 174, 2149	25091, 3356, 174, 2149	25220, 1299, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 51945, 174, 2149	286, 174, 2149	57381, 50304, 174, 2149	553, 174, 2149	9002, 3356, 174, 2149	13237, 1299, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 3257, 174, 2149	19151, 174, 2149	29140, 2914, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 2914, 174, 2149	22652, 174, 2149
1404172800	1280, 174, 2149	25091, 3356, 174, 2149	25220, 13101, 174, 2149	8596, 286, 174, 2149	7575, 2914, 174, 2149	56730, 31463, 3356, 174, 2149	286, 174, 2149	57381, 42708, 174, 2149	553, 174, 2149	9002, 2914, 174, 2149	13237, 3257, 174, 2149	8758, 174, 2149	3257, 174, 2149	12859, 2914, 174, 2149	1853, 1764, 174, 2149	6720, 1853, 1764, 174, 2149	25152, 2914, 174, 2149	2497, 2914, 174, 2149	29636, 174, 2149	20932, 174, 2149	15435, 174, 2149	1103, 286, 174, 2149	19151, 174, 2149	29140, 3257, 174, 2149	12637, 174, 2149	2914, 174, 2149	9189, 8422, 1299, 174, 2149	13030, 2828, 174, 2149	6762, 174, 2149	4589, 2914, 174, 2149	34288, 174, 2149	28917, 174, 2149	29686, 3257, 174, 2149	22652, 174, 2149
