time,identical,diff,v4_longer,v4_shorter
2008-03-01,6,3,0,5
2008-04-01,0,0,0,0
2008-05-01,0,0,1,0
2008-06-01,0,0,0,0
2008-07-01,1,0,0,1
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,1,1,0,0
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,6,3,4,0
2009-08-01,6,3,4,0
2009-09-01,5,2,6,1
2009-10-01,4,4,7,0
2009-11-01,3,3,3,3
2009-12-01,3,2,3,5
2010-01-01,1,3,2,1
2010-02-01,3,4,3,2
2010-03-01,3,4,3,0
2010-04-01,4,2,4,1
2010-05-01,4,4,2,1
2010-06-01,3,4,3,2
2010-07-01,5,7,5,6
2010-08-01,3,4,7,1
2010-09-01,8,4,4,1
2010-10-01,10,3,4,2
2010-11-01,10,2,5,1
2010-12-01,3,0,0,0
2011-01-01,3,0,2,0
2011-02-01,11,4,6,2
2011-03-01,10,4,6,2
2011-04-01,13,4,7,2
2011-05-01,13,5,7,3
2011-06-01,12,6,7,3
2011-07-01,16,3,6,1
2011-08-01,14,3,6,1
2011-09-01,15,2,7,1
2011-10-01,17,2,9,1
2011-11-01,18,3,6,1
2011-12-01,18,4,3,1
2012-01-01,10,3,2,1
2012-02-01,16,5,4,1
2012-03-01,17,4,4,2
2012-04-01,17,4,4,2
2012-05-01,19,4,4,3
2012-06-01,19,7,3,4
2012-07-01,19,6,3,4
2012-08-01,20,6,3,3
2012-09-01,19,6,2,4
2012-10-01,18,8,1,4
2012-11-01,26,7,1,5
2012-12-01,22,3,1,4
2013-01-01,28,6,2,5
2013-02-01,28,6,2,6
2013-03-01,22,4,2,3
2013-04-01,18,3,2,3
2013-05-01,22,8,0,5
2013-06-01,17,9,0,3
2013-07-01,24,8,0,6
2013-08-01,25,9,0,4
2013-09-01,25,8,0,5
2013-10-01,23,6,0,4
2013-11-01,26,8,0,4
2013-12-01,26,8,0,4
2014-01-01,25,6,0,4
2014-02-01,28,8,0,4
2014-03-01,27,8,0,4
2014-04-01,28,5,0,4
2014-05-01,26,7,0,4
2014-06-01,26,6,1,3
2014-07-01,25,6,1,2
2014-08-01,11,8,3,4
2014-09-01,10,6,3,5
2014-10-01,10,7,3,4
2014-11-01,19,7,3,4
2014-12-01,18,6,4,4
2015-01-01,19,5,3,6
2015-02-01,17,9,5,4
2015-03-01,19,8,6,3
2015-04-01,14,8,5,9
2015-05-01,14,7,12,2
2015-06-01,13,8,1,7
2015-07-01,14,7,2,8
2015-08-01,12,7,2,8
2015-09-01,12,7,2,10
2015-10-01,15,3,1,15
2015-11-01,14,3,1,15
2015-12-01,16,7,2,18
2016-01-01,13,12,6,9
2016-02-01,19,13,8,4
2016-03-01,21,12,8,4
2016-04-01,25,12,13,3
2016-05-01,23,12,8,3
2016-06-01,24,14,10,2
