time,identical,diff,v4_longer,v4_shorter
2010-07-01,1,3,0,22
2010-08-01,0,2,0,20
2010-09-01,0,2,0,22
2010-10-01,0,2,0,23
2010-11-01,8,8,0,11
2010-12-01,4,0,0,1
2011-01-01,7,0,0,4
2011-02-01,14,6,3,11
2011-03-01,13,5,2,11
2011-04-01,21,4,2,11
2011-05-01,18,5,2,12
2011-06-01,23,5,0,6
2011-07-01,17,4,0,11
2011-08-01,16,2,3,10
2011-09-01,19,2,3,8
2011-10-01,15,6,3,12
2011-11-01,19,4,4,11
2011-12-01,15,6,4,10
2012-01-01,15,3,3,2
2012-02-01,20,1,4,9
2012-03-01,21,1,4,9
2012-04-01,24,1,4,11
2012-05-01,23,1,4,12
2012-06-01,17,4,5,9
2012-07-01,14,1,5,11
2012-08-01,16,2,7,12
2012-09-01,19,2,6,10
2012-10-01,17,5,4,7
2012-11-01,18,6,5,12
2012-12-01,17,4,3,9
2013-01-01,20,4,5,9
2013-02-01,21,3,7,9
2013-03-01,14,3,1,10
2013-04-01,15,2,0,8
2013-05-01,18,3,4,10
2013-06-01,21,5,2,7
2013-07-01,20,6,4,8
2013-08-01,25,5,3,9
2013-09-01,19,4,5,11
2013-10-01,14,2,7,5
2013-11-01,17,2,9,6
2013-12-01,17,2,10,6
2014-01-01,18,4,8,3
2014-02-01,16,8,8,5
2014-03-01,19,5,9,4
2014-04-01,21,3,7,6
2014-05-01,20,4,9,4
2014-06-01,13,7,7,5
2014-07-01,17,8,7,4
2014-08-01,14,6,9,6
2014-09-01,10,7,10,2
2014-10-01,16,4,9,1
2014-11-01,16,7,9,4
2014-12-01,16,7,7,4
2015-01-01,13,6,8,6
2015-02-01,19,3,8,6
2015-03-01,20,4,9,5
2015-04-01,18,7,7,8
2015-05-01,19,5,12,4
2015-06-01,17,7,10,6
2015-07-01,19,5,8,7
2015-08-01,18,7,11,6
2015-09-01,25,5,12,6
2015-10-01,29,6,10,5
2015-11-01,28,6,9,4
2015-12-01,35,8,18,3
2016-01-01,35,10,15,3
2016-02-01,34,9,15,3
2016-03-01,30,9,15,6
2016-04-01,32,10,21,4
2016-05-01,30,8,20,7
2016-06-01,29,12,21,5
