time,identical,diff,v4_longer,v4_shorter
2008-03-01,0,13,13,1
2008-04-01,0,0,0,0
2008-05-01,0,1,0,0
2008-06-01,0,0,0,0
2008-07-01,0,2,1,1
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,0,4,2,0
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,1,15,8,5
2009-08-01,1,15,6,7
2009-09-01,1,14,8,7
2009-10-01,1,18,5,5
2009-11-01,1,18,4,5
2009-12-01,1,19,6,5
2010-01-01,0,15,3,1
2010-02-01,1,17,4,5
2010-03-01,0,17,6,6
2010-04-01,2,15,6,5
2010-05-01,1,16,8,5
2010-06-01,1,15,9,6
2010-07-01,1,17,7,6
2010-08-01,1,18,5,5
2010-09-01,1,16,6,7
2010-10-01,0,16,8,7
2010-11-01,1,16,6,9
2010-12-01,0,2,1,2
2011-01-01,0,7,5,3
2011-02-01,1,16,13,9
2011-03-01,1,11,14,8
2011-04-01,1,17,13,10
2011-05-01,1,14,18,10
2011-06-01,1,13,18,11
2011-07-01,1,18,17,7
2011-08-01,1,13,21,3
2011-09-01,1,13,20,5
2011-10-01,1,18,20,6
2011-11-01,1,16,22,5
2011-12-01,1,21,15,6
2012-01-01,1,13,12,4
2012-02-01,1,13,22,7
2012-03-01,0,18,8,18
2012-04-01,0,14,5,26
2012-05-01,0,16,4,25
2012-06-01,0,19,3,21
2012-07-01,0,16,4,21
2012-08-01,0,7,1,41
2012-09-01,2,10,1,37
2012-10-01,1,21,0,26
2012-11-01,0,15,2,39
2012-12-01,1,9,1,34
2013-01-01,1,13,3,44
2013-02-01,1,13,1,50
2013-03-01,0,11,1,40
2013-04-01,0,9,3,32
2013-05-01,0,18,2,41
2013-06-01,1,12,0,38
2013-07-01,3,6,0,56
2013-08-01,4,5,0,58
2013-09-01,4,8,0,55
2013-10-01,2,7,1,51
2013-11-01,0,9,1,56
2013-12-01,0,11,0,54
2014-01-01,0,10,0,51
2014-02-01,3,13,0,49
2014-03-01,11,29,5,20
2014-04-01,14,25,5,19
2014-05-01,13,28,5,17
2014-06-01,12,25,6,18
2014-07-01,10,23,9,18
2014-08-01,11,27,5,18
2014-09-01,9,22,6,19
2014-10-01,8,25,5,17
2014-11-01,10,31,5,16
2014-12-01,12,27,5,17
2015-01-01,9,27,7,15
2015-02-01,10,25,6,20
2015-03-01,5,36,5,17
2015-04-01,7,34,6,17
2015-05-01,10,30,7,14
2015-06-01,11,27,5,18
2015-07-01,12,21,7,22
2015-08-01,10,24,5,26
2015-09-01,14,24,6,26
2015-10-01,19,24,4,25
2015-11-01,15,27,7,20
2015-12-01,24,19,5,41
2016-01-01,23,20,12,35
2016-02-01,15,13,10,52
2016-03-01,20,18,12,41
2016-04-01,20,21,8,49
2016-05-01,17,21,9,50
2016-06-01,19,20,17,45
