time,identical,diff,v4_longer,v4_shorter
2008-03-01,0,0,0,0
2008-04-01,0,0,0,0
2008-05-01,0,0,0,0
2008-06-01,0,0,0,0
2008-07-01,1,0,0,0
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,0,0,0,0
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,1,0,0,0
2009-08-01,0,0,0,0
2009-09-01,0,0,0,0
2009-10-01,0,0,0,0
2009-11-01,0,0,0,0
2009-12-01,0,0,0,0
2010-01-01,0,0,0,0
2010-02-01,0,0,0,0
2010-03-01,0,0,0,0
2010-04-01,0,0,0,0
2010-05-01,0,0,0,0
2010-06-01,0,1,0,0
2010-07-01,0,1,0,0
2010-08-01,0,0,0,0
2010-09-01,0,0,0,0
2010-10-01,12,5,1,9
2010-11-01,14,5,0,9
2010-12-01,4,0,0,3
2011-01-01,8,2,0,3
2011-02-01,21,4,1,7
2011-03-01,19,3,0,7
2011-04-01,20,5,1,8
2011-05-01,22,4,1,8
2011-06-01,23,4,1,8
2011-07-01,23,4,1,7
2011-08-01,22,3,1,7
2011-09-01,21,5,1,7
2011-10-01,25,7,2,6
2011-11-01,27,6,2,6
2011-12-01,28,5,1,6
2012-01-01,20,3,1,3
2012-02-01,28,4,1,5
2012-03-01,29,5,1,4
2012-04-01,29,5,1,6
2012-05-01,30,5,0,6
2012-06-01,29,6,0,4
2012-07-01,26,5,0,8
2012-08-01,28,6,2,10
2012-09-01,32,6,1,8
2012-10-01,31,7,1,6
2012-11-01,33,9,3,8
2012-12-01,26,6,2,7
2013-01-01,35,10,2,8
2013-02-01,34,11,2,11
2013-03-01,29,7,1,8
2013-04-01,24,4,1,7
2013-05-01,34,10,1,8
2013-06-01,27,8,1,10
2013-07-01,37,11,2,8
2013-08-01,38,10,2,9
2013-09-01,38,9,2,10
2013-10-01,37,6,2,8
2013-11-01,40,8,2,8
2013-12-01,38,10,3,8
2014-01-01,37,9,1,8
2014-02-01,36,14,2,7
2014-03-01,39,11,2,7
2014-04-01,37,10,1,8
2014-05-01,38,8,1,9
2014-06-01,34,12,2,7
2014-07-01,35,8,4,7
2014-08-01,34,10,4,8
2014-09-01,32,8,5,7
2014-10-01,32,7,4,6
2014-11-01,34,13,4,6
2014-12-01,32,13,5,6
2015-01-01,32,10,5,5
2015-02-01,33,9,7,6
2015-03-01,35,9,7,6
2015-04-01,33,11,6,8
2015-05-01,35,11,6,6
2015-06-01,37,11,4,5
2015-07-01,40,10,5,5
2015-08-01,42,9,4,5
2015-09-01,45,10,2,9
2015-10-01,46,11,3,8
2015-11-01,40,14,4,7
2015-12-01,68,8,5,6
2016-01-01,69,10,5,3
2016-02-01,72,7,6,4
2016-03-01,68,9,6,6
2016-04-01,78,9,7,6
2016-05-01,78,4,8,7
2016-06-01,83,4,9,7
