time,identical,diff,v4_longer,v4_shorter
2008-03-01,5,8,7,2
2008-04-01,0,0,0,0
2008-05-01,0,0,0,1
2008-06-01,0,0,0,0
2008-07-01,2,1,0,0
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,2,2,1,0
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,10,6,11,1
2009-08-01,9,7,11,1
2009-09-01,8,7,12,1
2009-10-01,9,6,11,1
2009-11-01,7,8,11,1
2009-12-01,8,7,13,1
2010-01-01,6,5,2,2
2010-02-01,9,6,7,3
2010-03-01,11,5,6,4
2010-04-01,13,4,6,3
2010-05-01,12,7,4,4
2010-06-01,11,8,4,5
2010-07-01,13,7,7,1
2010-08-01,11,6,8,1
2010-09-01,13,5,11,1
2010-10-01,14,3,11,3
2010-11-01,15,4,10,3
2010-12-01,4,0,2,0
2011-01-01,10,2,2,2
2011-02-01,16,4,13,3
2011-03-01,13,5,10,3
2011-04-01,12,7,15,5
2011-05-01,16,5,15,4
2011-06-01,19,8,7,5
2011-07-01,13,9,13,5
2011-08-01,13,8,10,4
2011-09-01,10,13,7,6
2011-10-01,15,15,8,4
2011-11-01,15,11,11,4
2011-12-01,12,12,11,5
2012-01-01,11,7,6,5
2012-02-01,13,10,10,5
2012-03-01,8,16,11,4
2012-04-01,8,16,10,6
2012-05-01,11,17,10,3
2012-06-01,10,15,12,2
2012-07-01,7,14,12,4
2012-08-01,7,22,12,3
2012-09-01,8,17,18,3
2012-10-01,7,17,17,2
2012-11-01,9,17,23,2
2012-12-01,9,10,22,2
2013-01-01,11,16,26,2
2013-02-01,8,19,27,4
2013-03-01,8,15,21,3
2013-04-01,6,14,16,3
2013-05-01,9,18,25,2
2013-06-01,8,14,23,3
2013-07-01,9,18,30,3
2013-08-01,6,23,29,3
2013-09-01,12,17,29,3
2013-10-01,10,10,33,2
2013-11-01,8,14,36,2
2013-12-01,7,14,36,2
2014-01-01,12,10,31,3
2014-02-01,9,12,35,4
2014-03-01,11,9,37,3
2014-04-01,7,13,36,2
2014-05-01,8,11,39,1
2014-06-01,9,8,39,1
2014-07-01,7,9,39,1
2014-08-01,8,8,37,3
2014-09-01,8,7,33,3
2014-10-01,6,8,33,2
2014-11-01,8,10,37,2
2014-12-01,9,12,33,2
2015-01-01,10,12,29,3
2015-02-01,9,13,31,2
2015-03-01,11,14,30,2
2015-04-01,11,15,29,3
2015-05-01,9,17,28,1
2015-06-01,8,17,29,1
2015-07-01,9,16,30,1
2015-08-01,14,14,30,1
2015-09-01,14,20,29,2
2015-10-01,16,16,33,2
2015-11-01,20,14,28,2
2015-12-01,27,16,37,2
2016-01-01,27,15,37,3
2016-02-01,23,16,39,5
2016-03-01,28,13,39,4
2016-04-01,30,15,42,4
2016-05-01,29,14,41,4
2016-06-01,30,16,43,4
